detector	topk	nh	dev_accuracy	data	precision	recall	f1-score	support
mpqa&mr	1	14	0.9845	test_trec	1.0	0.9955	0.9977449260836884	2000
mpqa&sst2	1	1	0.9225	dev_mpqa	0.9154375614552606	0.931	0.9231531978185424	1000
mpqa&sst2	1	1	0.9225	dev_sst2	0.9298067141403866	0.914	0.9218356026222896	1000
mpqa&sst2	1	1	0.9225	test_cr	1.0	0.9545	0.9767203888462523	2000
mpqa&sst2	1	1	0.9225	test_mpqa	1.0	0.931	0.9642672190574832	2000
mpqa&sst2	1	1	0.9225	test_mr	1.0	0.918	0.9572471324296141	2000
mpqa&sst2	1	1	0.9225	test_sst2	1.0	0.9	0.9473684210526316	2000
mpqa&sst2	1	1	0.9225	test_subj	1.0	0.9735	0.9865720800608057	2000
mpqa&sst2	1	1	0.9225	test_trec	1.0	0.895	0.9445910290237467	2000
mpqa&sst2	1	5	0.983	dev_mpqa	0.9908536585365854	0.975	0.9828629032258065	1000
mpqa&sst2	1	5	0.983	dev_sst2	0.9753937007874016	0.991	0.9831349206349207	1000
mpqa&sst2	1	5	0.983	test_cr	1.0	0.987	0.9934574735782586	2000
mpqa&sst2	1	5	0.983	test_mpqa	1.0	0.98	0.98989898989899	2000
mpqa&sst2	1	5	0.983	test_mr	1.0	0.9875	0.9937106918238994	2000
mpqa&sst2	1	5	0.983	test_sst2	1.0	0.984	0.9919354838709677	2000
mpqa&sst2	1	5	0.983	test_subj	1.0	0.9945	0.997242416645776	2000
mpqa&sst2	1	5	0.983	test_trec	1.0	0.986	0.9929506545820745	2000
mpqa&sst2	1	13	0.9855	dev_mpqa	0.9908998988877654	0.98	0.9854198089492208	1000
mpqa&sst2	1	13	0.9855	dev_sst2	0.9802176063303659	0.991	0.9855793137742417	1000
mpqa&sst2	1	13	0.9855	test_cr	1.0	0.9885	0.9942167462911742	2000
mpqa&sst2	1	13	0.9855	test_mpqa	1.0	0.979	0.989388580090955	2000
mpqa&sst2	1	13	0.9855	test_mr	1.0	0.9875	0.9937106918238994	2000
mpqa&sst2	1	13	0.9855	test_sst2	1.0	0.9845	0.9921894683799445	2000
mpqa&sst2	1	13	0.9855	test_subj	1.0	0.995	0.9974937343358395	2000
mpqa&sst2	1	13	0.9855	test_trec	1.0	0.9895	0.9947222920331742	2000
mpqa&sst2	1	14	0.987	dev_mpqa	0.9909274193548387	0.983	0.9869477911646587	1000
mpqa&sst2	1	14	0.987	dev_sst2	0.9831349206349206	0.991	0.9870517928286853	1000
mpqa&sst2	1	14	0.987	test_cr	1.0	0.9915	0.9957318604067287	2000
mpqa&sst2	1	14	0.987	test_mpqa	1.0	0.981	0.9904088844018173	2000
mpqa&sst2	1	14	0.987	test_mr	1.0	0.9865	0.9932041278630759	2000
mpqa&sst2	1	14	0.987	test_sst2	1.0	0.9845	0.9921894683799445	2000
mpqa&sst2	1	14	0.987	test_subj	1.0	0.9975	0.9987484355444306	2000
mpqa&sst2	1	14	0.987	test_trec	1.0	0.9925	0.9962358845671266	2000
mpqa&subj	1	1	0.9515	dev_mpqa	0.9448275862068966	0.959	0.9518610421836229	1000
mpqa&subj	1	1	0.9515	dev_subj	0.9583756345177665	0.944	0.9511335012594458	1000
mpqa&subj	1	1	0.9515	test_cr	1.0	0.9365	0.9672088820036148	2000
mpqa&subj	1	1	0.9515	test_mpqa	1.0	0.957	0.9780275932549821	2000
mpqa&subj	1	1	0.9515	test_mr	1.0	0.873	0.9321943406300054	2000
mpqa&subj	1	1	0.9515	test_sst2	1.0	0.8555	0.9221234168687685	2000
mpqa&subj	1	1	0.9515	test_subj	1.0	0.9525	0.9756722151088347	2000
mpqa&subj	1	1	0.9515	test_trec	1.0	0.8185	0.9001924663183943	2000
mpqa&subj	1	5	0.9835	dev_mpqa	0.987891019172553	0.979	0.9834254143646409	1000
mpqa&subj	1	5	0.9835	dev_subj	0.979187314172448	0.988	0.9835739173718268	1000
mpqa&subj	1	5	0.9835	test_cr	1.0	0.984	0.9919354838709677	2000
mpqa&subj	1	5	0.9835	test_mpqa	1.0	0.9805	0.990154001514769	2000
mpqa&subj	1	5	0.9835	test_mr	1.0	0.9815	0.9906636386575827	2000
mpqa&subj	1	5	0.9835	test_sst2	1.0	0.9805	0.990154001514769	2000
mpqa&subj	1	5	0.9835	test_subj	1.0	0.9925	0.9962358845671266	2000
mpqa&subj	1	5	0.9835	test_trec	1.0	0.959	0.9790709545686574	2000
mpqa&subj	1	13	0.986	dev_mpqa	0.990909090909091	0.981	0.985929648241206	1000
mpqa&subj	1	13	0.986	dev_subj	0.9811881188118812	0.991	0.9860696517412935	1000
mpqa&subj	1	13	0.986	test_cr	1.0	0.9815	0.9906636386575827	2000
mpqa&subj	1	13	0.986	test_mpqa	1.0	0.982	0.9909182643794148	2000
mpqa&subj	1	13	0.986	test_mr	1.0	0.9775	0.988621997471555	2000
mpqa&subj	1	13	0.986	test_sst2	1.0	0.977	0.9883662114314619	2000
mpqa&subj	1	13	0.986	test_subj	1.0	0.991	0.9954796584630838	2000
mpqa&subj	1	13	0.986	test_trec	1.0	0.983	0.9914271306101865	2000
mpqa&subj	1	14	0.9895	dev_mpqa	0.9919597989949749	0.987	0.9894736842105264	1000
mpqa&subj	1	14	0.9895	dev_subj	0.9870646766169154	0.992	0.9895261845386534	1000
mpqa&subj	1	14	0.9895	test_cr	1.0	0.9805	0.990154001514769	2000
mpqa&subj	1	14	0.9895	test_mpqa	1.0	0.984	0.9919354838709677	2000
mpqa&subj	1	14	0.9895	test_mr	1.0	0.974	0.9868287740628165	2000
mpqa&subj	1	14	0.9895	test_sst2	1.0	0.9655	0.9824472144492495	2000
mpqa&subj	1	14	0.9895	test_subj	1.0	0.993	0.9964877069744105	2000
mpqa&subj	1	14	0.9895	test_trec	1.0	0.9865	0.9932041278630759	2000
mpqa&trec	1	1	0.9335	dev_mpqa	0.9427987742594485	0.923	0.9327943405760487	1000
mpqa&trec	1	1	0.9335	dev_trec	0.9245837414299706	0.944	0.9341909945571499	1000
mpqa&trec	1	1	0.9335	test_cr	1.0	0.963	0.9811512990320936	2000
mpqa&trec	1	1	0.9335	test_mpqa	1.0	0.92	0.9583333333333334	2000
mpqa&trec	1	1	0.9335	test_mr	1.0	0.932	0.9648033126293997	2000
mpqa&trec	1	1	0.9335	test_sst2	1.0	0.9195	0.958061995311279	2000
mpqa&trec	1	1	0.9335	test_subj	1.0	0.9775	0.988621997471555	2000
mpqa&trec	1	1	0.9335	test_trec	1.0	0.9195	0.958061995311279	2000
mpqa&trec	1	5	0.9835	dev_mpqa	0.9869083585095669	0.98	0.9834420471650777	1000
mpqa&trec	1	5	0.9835	dev_trec	0.9801390268123138	0.987	0.9835575485799701	1000
mpqa&trec	1	5	0.9835	test_cr	1.0	0.955	0.9769820971867007	2000
mpqa&trec	1	5	0.9835	test_mpqa	1.0	0.9805	0.990154001514769	2000
mpqa&trec	1	5	0.9835	test_mr	1.0	0.947	0.9727786337955828	2000
mpqa&trec	1	5	0.9835	test_sst2	1.0	0.9475	0.9730423620025674	2000
mpqa&trec	1	5	0.9835	test_subj	1.0	0.967	0.9832231825114387	2000
mpqa&trec	1	5	0.9835	test_trec	1.0	0.9805	0.990154001514769	2000
mpqa&trec	1	13	0.992	dev_mpqa	0.9949698189134809	0.989	0.9919759277833501	1000
mpqa&trec	1	13	0.992	dev_trec	0.989065606361829	0.995	0.992023928215354	1000
mpqa&trec	1	13	0.992	test_cr	1.0	0.8685	0.9296226919989297	2000
mpqa&trec	1	13	0.992	test_mpqa	1.0	0.992	0.9959839357429718	2000
mpqa&trec	1	13	0.992	test_mr	1.0	0.833	0.9088925259138025	2000
mpqa&trec	1	13	0.992	test_sst2	1.0	0.8255	0.9044097507532184	2000
mpqa&trec	1	13	0.992	test_subj	1.0	0.8625	0.9261744966442953	2000
mpqa&trec	1	13	0.992	test_trec	1.0	0.992	0.9959839357429718	2000
mpqa&trec	1	14	0.9955	dev_mpqa	0.9969909729187563	0.994	0.9954932398597897	1000
mpqa&trec	1	14	0.9955	dev_trec	0.9940179461615155	0.997	0.9955067398901647	1000
mpqa&trec	1	14	0.9955	test_cr	1.0	0.9425	0.9703989703989705	2000
mpqa&trec	1	14	0.9955	test_mpqa	1.0	0.991	0.9954796584630838	2000
mpqa&trec	1	14	0.9955	test_mr	1.0	0.8655	0.9279013669257572	2000
mpqa&trec	1	14	0.9955	test_sst2	1.0	0.8535	0.9209603452926896	2000
mpqa&trec	1	14	0.9955	test_subj	1.0	0.9305	0.963998963998964	2000
mpqa&trec	1	14	0.9955	test_trec	1.0	0.9925	0.9962358845671266	2000
