detector	dev_accuracy	data	precision	recall	f1-score	support
trec_mpqa_topk_1_nh_12	1.0	test_cr	1.0	0.872	0.9316239316239316	1000
trec_mpqa_topk_1_nh_12	1.0	test_mpqa	1.0	0.988	0.993963782696177	1000
trec_mpqa_topk_1_nh_12	1.0	test_mr	1.0	0.889	0.9412387506617258	1000
trec_mpqa_topk_1_nh_12	1.0	test_sst2	1.0	0.876	0.933901918976546	1000
trec_mpqa_topk_1_nh_12	1.0	test_trec	1.0	0.994	0.9969909729187563	1000
trec_mpqa_topk_3_nh_1	0.941	dev_trec	0.951844262295082	0.929	0.9402834008097166	1000
trec_mpqa_topk_3_nh_1	0.941	dev_mpqa	0.9306640625	0.953	0.941699604743083	1000
trec_mpqa_topk_3_nh_1	0.941	test_cr	1.0	0.878	0.9350372736954206	1000
trec_mpqa_topk_3_nh_1	0.941	test_mpqa	1.0	0.964	0.9816700610997963	1000
trec_mpqa_topk_3_nh_1	0.941	test_mr	1.0	0.894	0.9440337909186906	1000
trec_mpqa_topk_3_nh_1	0.941	test_sst2	1.0	0.87	0.9304812834224598	1000
trec_mpqa_topk_3_nh_1	0.941	test_trec	1.0	0.931	0.9642672190574832	1000
trec_mpqa_topk_3_nh_4	0.992	dev_trec	0.9900398406374502	0.994	0.9920159680638723	1000
trec_mpqa_topk_3_nh_4	0.992	dev_mpqa	0.9939759036144579	0.99	0.9919839679358716	1000
trec_mpqa_topk_3_nh_4	0.992	test_cr	1.0	0.467	0.6366734832992502	1000
trec_mpqa_topk_3_nh_4	0.992	test_mpqa	1.0	0.987	0.9934574735782586	1000
trec_mpqa_topk_3_nh_4	0.992	test_mr	1.0	0.464	0.6338797814207651	1000
trec_mpqa_topk_3_nh_4	0.992	test_sst2	1.0	0.468	0.6376021798365124	1000
trec_mpqa_topk_3_nh_4	0.992	test_trec	1.0	0.99	0.9949748743718593	1000
trec_mpqa_topk_3_nh_12	1.0	dev_trec	1.0	1.0	1.0	1000
trec_mpqa_topk_3_nh_12	1.0	dev_mpqa	1.0	1.0	1.0	1000
trec_mpqa_topk_3_nh_12	1.0	test_cr	1.0	0.699	0.8228369629193644	1000
trec_mpqa_topk_3_nh_12	1.0	test_mpqa	1.0	0.988	0.993963782696177	1000
trec_mpqa_topk_3_nh_12	1.0	test_mr	1.0	0.669	0.8016776512881966	1000
trec_mpqa_topk_3_nh_12	1.0	test_sst2	1.0	0.664	0.798076923076923	1000
trec_mpqa_topk_3_nh_12	1.0	test_trec	1.0	0.994	0.9969909729187563	1000
trec_mr_topk_1_nh_1	0.9355	dev_trec	0.9494324045407637	0.92	0.9344845099035043	1000
trec_mr_topk_1_nh_1	0.9355	dev_mr	0.9224054316197866	0.951	0.9364844903988183	1000
trec_mr_topk_1_nh_1	0.9355	test_cr	1.0	0.908	0.9517819706498952	1000
trec_mr_topk_1_nh_1	0.9355	test_mpqa	1.0	0.955	0.9769820971867007	1000
trec_mr_topk_1_nh_1	0.9355	test_mr	1.0	0.955	0.9769820971867007	1000
trec_mr_topk_1_nh_1	0.9355	test_sst2	1.0	0.932	0.9648033126293997	1000
trec_mr_topk_1_nh_1	0.9355	test_trec	1.0	0.927	0.9621172807472755	1000
trec_mr_topk_1_nh_4	0.941	dev_trec	0.9454545454545454	0.936	0.9407035175879397	1000
trec_mr_topk_1_nh_4	0.941	dev_mr	0.9366336633663367	0.946	0.9412935323383085	1000
trec_mr_topk_1_nh_4	0.941	test_cr	1.0	0.955	0.9769820971867007	1000
trec_mr_topk_1_nh_4	0.941	test_mpqa	1.0	0.99	0.9949748743718593	1000
trec_mr_topk_1_nh_4	0.941	test_mr	1.0	0.948	0.973305954825462	1000
trec_mr_topk_1_nh_4	0.941	test_sst2	1.0	0.938	0.9680082559339525	1000
trec_mr_topk_1_nh_4	0.941	test_trec	1.0	0.923	0.9599583983359334	1000
trec_mr_topk_1_nh_12	0.995	dev_trec	0.9959919839679359	0.994	0.994994994994995	1000
trec_mr_topk_1_nh_12	0.995	dev_mr	0.9940119760479041	0.996	0.995004995004995	1000
trec_mr_topk_1_nh_12	0.995	test_cr	1.0	1.0	1.0	1000
trec_mr_topk_1_nh_12	0.995	test_mpqa	1.0	0.875	0.9333333333333333	1000
trec_mr_topk_1_nh_12	0.995	test_mr	1.0	0.997	0.99849774661993	1000
trec_mr_topk_1_nh_12	0.995	test_sst2	1.0	0.997	0.99849774661993	1000
trec_mr_topk_1_nh_12	0.995	test_trec	1.0	0.989	0.9944695827048768	1000
trec_mr_topk_3_nh_1	0.9355	dev_trec	0.943031536113937	0.927	0.9349470499243571	1000
trec_mr_topk_3_nh_1	0.9355	dev_mr	0.928220255653884	0.944	0.9360436291522063	1000
trec_mr_topk_3_nh_1	0.9355	test_cr	1.0	0.886	0.9395546129374337	1000
trec_mr_topk_3_nh_1	0.9355	test_mpqa	1.0	0.932	0.9648033126293997	1000
trec_mr_topk_3_nh_1	0.9355	test_mr	1.0	0.947	0.9727786337955828	1000
trec_mr_topk_3_nh_1	0.9355	test_sst2	1.0	0.923	0.9599583983359334	1000
trec_mr_topk_3_nh_1	0.9355	test_trec	1.0	0.928	0.9626556016597512	1000
trec_mr_topk_3_nh_4	0.949	dev_trec	0.9572301425661914	0.94	0.9485368314833502	1000
trec_mr_topk_3_nh_4	0.949	dev_mr	0.9410609037328095	0.958	0.9494549058473737	1000
trec_mr_topk_3_nh_4	0.949	test_cr	1.0	0.95	0.9743589743589743	1000
trec_mr_topk_3_nh_4	0.949	test_mpqa	1.0	0.964	0.9816700610997963	1000
trec_mr_topk_3_nh_4	0.949	test_mr	1.0	0.955	0.9769820971867007	1000
trec_mr_topk_3_nh_4	0.949	test_sst2	1.0	0.949	0.9738327347357619	1000
trec_mr_topk_3_nh_4	0.949	test_trec	1.0	0.934	0.9658738366080661	1000
trec_mr_topk_3_nh_12	1.0	dev_trec	1.0	1.0	1.0	1000
trec_mr_topk_3_nh_12	1.0	dev_mr	1.0	1.0	1.0	1000
trec_mr_topk_3_nh_12	1.0	test_cr	1.0	0.985	0.9924433249370278	1000
trec_mr_topk_3_nh_12	1.0	test_mpqa	1.0	0.463	0.632946001367054	1000
trec_mr_topk_3_nh_12	1.0	test_mr	1.0	0.986	0.9929506545820745	1000
trec_mr_topk_3_nh_12	1.0	test_sst2	1.0	0.986	0.9929506545820745	1000
trec_mr_topk_3_nh_12	1.0	test_trec	1.0	0.983	0.9914271306101865	1000
trec_sst2_topk_1_nh_1	0.9245	dev_trec	0.9344933469805528	0.913	0.9236216489630754	1000
trec_sst2_topk_1_nh_1	0.9245	dev_sst2	0.9149560117302052	0.936	0.9253583786455758	1000
trec_sst2_topk_1_nh_1	0.9245	test_cr	1.0	0.93	0.9637305699481865	1000
trec_sst2_topk_1_nh_1	0.9245	test_mpqa	1.0	0.964	0.9816700610997963	1000
trec_sst2_topk_1_nh_1	0.9245	test_mr	1.0	0.966	0.982706002034588	1000
trec_sst2_topk_1_nh_1	0.9245	test_sst2	1.0	0.951	0.9748846745258841	1000
trec_sst2_topk_1_nh_1	0.9245	test_trec	1.0	0.924	0.9604989604989606	1000
trec_sst2_topk_1_nh_4	0.9365	dev_trec	0.9378134403209629	0.935	0.9364046069103655	1000
trec_sst2_topk_1_nh_4	0.9365	dev_sst2	0.9351944167497508	0.938	0.9365951073389914	1000
trec_sst2_topk_1_nh_4	0.9365	test_cr	1.0	0.957	0.9780275932549821	1000
trec_sst2_topk_1_nh_4	0.9365	test_mpqa	1.0	0.994	0.9969909729187563	1000
trec_sst2_topk_1_nh_4	0.9365	test_mr	1.0	0.952	0.9754098360655737	1000
trec_sst2_topk_1_nh_4	0.9365	test_sst2	1.0	0.941	0.9696032972694487	1000
trec_sst2_topk_1_nh_4	0.9365	test_trec	1.0	0.922	0.959417273673257	1000
trec_sst2_topk_1_nh_12	0.9945	dev_trec	0.994994994994995	0.994	0.9944972486243121	1000
trec_sst2_topk_1_nh_12	0.9945	dev_sst2	0.994005994005994	0.995	0.9945027486256871	1000
trec_sst2_topk_1_nh_12	0.9945	test_cr	1.0	0.999	0.9994997498749374	1000
trec_sst2_topk_1_nh_12	0.9945	test_mpqa	1.0	0.899	0.94681411269089	1000
trec_sst2_topk_1_nh_12	0.9945	test_mr	1.0	0.995	0.9974937343358395	1000
trec_sst2_topk_1_nh_12	0.9945	test_sst2	1.0	0.997	0.99849774661993	1000
trec_sst2_topk_1_nh_12	0.9945	test_trec	1.0	0.99	0.9949748743718593	1000
trec_sst2_topk_3_nh_1	0.924	dev_trec	0.9308943089430894	0.916	0.9233870967741935	1000
trec_sst2_topk_3_nh_1	0.924	dev_sst2	0.9173228346456693	0.932	0.9246031746031745	1000
trec_sst2_topk_3_nh_1	0.924	test_cr	1.0	0.914	0.9550679205851619	1000
